City,Country,Housing Affordability,Living Costs by Income,Unemployment,Education,Safety,Mobility,Air Quality,Healthcare,Kids Activities,Paid Parental Leave,Family Inclusivity,Neighbourhood Safety,Family-Friendliness,Total,Lat,Long
San Francisco,US,81.83,90.55,2.68,85.53,83.3,79.96,15.77,65.44,98.39,117,100,85,79,86.38,37.7647993,-122.4629897
Boston,US,77.82,82.77,3.11,92.33,87,81.55,12.32,73.98,76.41,0,100,78,86,84.96,42.3602534,-71.0582912
San Diego,US,80.53,90.59,3.3,85.53,86.8,62.27,15.05,68.65,93.85,117,100,74,92,84.75,32.7174209,-117.1627714
Seattle,US,87.73,87.99,3.88,87.28,84.3,66.25,11.97,72.09,87.08,0,100,87,90,84.43,47.6038321,-122.3300624
Minneapolis,US,88.57,85.35,2.68,87.44,85.5,67.91,12.18,74.33,62.43,0,100,89,92,82.34,44.9772995,-93.2654692
Portland,US,87.44,84.96,3.79,86.2,87.3,64.84,10.44,68.7,75.02,0,100,88,93,82.24,45.5202471,-122.6741949
Omaha,US,93.56,90.5,2.87,86.94,84.4,63.13,15.47,64.11,64.85,0,100,92,89,81.93,41.2587459,-95.9383758
Austin,US,87.7,94.49,2.92,85.7,86.7,53.59,14.3,56.33,76.74,0,100,81,91,81.08,30.2711286,-97.7436995
Denver,US,88.58,89.76,3.01,86.86,83.8,61.67,11.02,67.83,66.9,0,100,92,84,80.96,39.7348381,-104.9653271
Tampa,US,90.3,91.25,3.4,86.03,84.9,61.31,12.37,63.64,70.8,0,84.6,84,81,79.69,27.9477595,-82.458444
Chicago,US,81.4,83.16,4.16,86.28,83.8,83.88,21.54,62.94,90.95,0,100,65,72,79.46,41.8755616,-87.6244212
Charlotte,US,92,94.51,3.63,85.62,84.3,61.31,15.07,57.06,63.62,0,92.3,85,91,79.39,35.2270869,-80.8431268
Colorado Springs,US,90.97,86.61,3.68,86.86,84.3,55.87,10.71,65.69,62,0,100,92,90,78.86,38.8339578,-104.8253485
Virginia Beach,US,94.71,91.26,3.33,87.03,83.1,54.86,12.95,65.47,65.23,0,84.6,70,92,78.77,36.8529841,-75.9774183
Oakland,US,82.97,92.44,2.68,85.53,81.2,50.69,15.77,70.45,67.14,117,100,84,87,78.49,37.8044557,-122.2713563
Dallas,US,88.88,92.17,3.49,85.7,83.3,65.2,15.84,55.18,72.2,0,100,62,81,77.94,32.7762719,-96.7968559
Washington,US,85.08,91.24,3.37,83.29,84,67.5,14.68,54.11,82.71,0,100,73,69,77.75,38.8948932,-77.0365529
Atlanta,US,89.45,93.56,3.69,86.11,81.1,69.34,16.61,51.23,71.98,0,100,71,74,77.55,33.7490987,-84.3901849
New York,US,66.67,72.03,4.02,86.03,82.2,86.15,16.27,66.43,98.53,180,100,81,67,77.35,40.7127281,-74.0060152
Pittsburgh,US,90.82,83.89,4.28,86.86,86.1,68.83,19.24,64.06,61.88,0,100,70,75,77.28,40.4416941,-79.9900861
Phoenix,US,89.92,87.4,4.14,85.95,82.4,58.42,13.53,58.8,67.74,0,100,92,88,77.16,33.4484367,-112.0741417
Los Angeles,US,72.72,87.36,4.21,85.53,81.3,56.45,19.93,64.8,100,117,100,60,82,76.77,34.0536909,-118.2427666
San Jose,US,85.8,96.25,2.64,85.53,85.9,48.58,27,68.23,51.05,117,100,86,68,76.46,37.3361905,-121.8905833
Jacksonville,US,94.98,91.98,3.33,86.03,81.1,55.41,14.59,65.22,56.81,0,84.6,82,84,76.46,30.3321838,-81.655651
Oklahoma City,US,95.56,87.39,3.28,85.2,83,58.84,17.08,50.62,61.39,0,100,81,85,75.66,35.4729886,-97.5170536
San Antonio,US,88.19,88,3.33,85.53,82.1,58.52,16.25,56.46,76.6,0,100,70,69,75.52,29.4246002,-98.4951405
Louisville,US,94.54,95.2,3.84,85.78,80.8,61.61,21.18,51.46,64.34,0,84.6,74,80,75.49,38.2542376,-85.759407
Indianapolis,US,90.27,88.97,3.19,87.19,79.9,63.22,16.99,54.8,61.48,0,100,68,89,75.45,39.7683331,-86.1583502
Sacramento,US,86.67,86.21,3.72,85.53,83.9,58.63,13.53,68.06,52.36,117,100,63,72,74.89,38.5815719,-121.4943996
